regSQC_CE_EDC_LO reg:0x23db
regSQC_CE_EDC_HI reg:0x23dc
regSQ_UE_ERR_STATUS_LO reg:0x23dd
regSQ_UE_ERR_STATUS_HI reg:0x23de
regSQ_CE_ERR_STATUS_LO reg:0x23df
regSQ_CE_ERR_STATUS_HI reg:0x23e0
regLDS_UE_ERR_STATUS_LO reg:0x23e1
regLDS_UE_ERR_STATUS_HI reg:0x23e2
regLDS_CE_ERR_STATUS_LO reg:0x23e3
regLDS_CE_ERR_STATUS_HI reg:0x23e4
regSP0_UE_ERR_STATUS_LO reg:0x23e5
regSP0_UE_ERR_STATUS_HI reg:0x23e6
regSP0_CE_ERR_STATUS_LO reg:0x23e7
regSP0_CE_ERR_STATUS_HI reg:0x23e8
regSP1_UE_ERR_STATUS_LO reg:0x23e9
regSP1_UE_ERR_STATUS_HI reg:0x23ea
regSP1_CE_ERR_STATUS_LO reg:0x23eb
regSP1_CE_ERR_STATUS_HI reg:0x23ec
regSX_DEBUG_BUSY reg:0x2414
regSX_DEBUG_1 reg:0x2419
regSPI_PS_MAX_WAVE_ID reg:0x243a
regSPI_START_PHASE reg:0x243b
regSPI_GFX_CNTL reg:0x243c
regSPI_DEBUG_READ reg:0x2442
regSPI_DSM_CNTL reg:0x2443
regSPI_DSM_CNTL2 reg:0x2444
regSPI_EDC_CNT reg:0x2445
regSPI_UE_ERR_STATUS_LO reg:0x2446
regSPI_UE_ERR_STATUS_HI reg:0x2447
regSPI_CE_ERR_STATUS_LO reg:0x2448
regSPI_CE_ERR_STATUS_HI reg:0x2449
regSPI_DEBUG_BUSY reg:0x2450
regSPI_CONFIG_PS_CU_EN reg:0x2452
regSPI_WF_LIFETIME_CNTL reg:0x24aa
regSPI_WF_LIFETIME_LIMIT_0 reg:0x24ab
regSPI_WF_LIFETIME_LIMIT_1 reg:0x24ac
regSPI_WF_LIFETIME_LIMIT_2 reg:0x24ad
regSPI_WF_LIFETIME_LIMIT_3 reg:0x24ae
regSPI_WF_LIFETIME_LIMIT_4 reg:0x24af
regSPI_WF_LIFETIME_LIMIT_5 reg:0x24b0
regSPI_WF_LIFETIME_LIMIT_6 reg:0x24b1
regSPI_WF_LIFETIME_LIMIT_7 reg:0x24b2
regSPI_WF_LIFETIME_LIMIT_8 reg:0x24b3
regSPI_WF_LIFETIME_LIMIT_9 reg:0x24b4
regSPI_WF_LIFETIME_STATUS_0 reg:0x24b5
regSPI_WF_LIFETIME_STATUS_1 reg:0x24b6
regSPI_WF_LIFETIME_STATUS_2 reg:0x24b7
regSPI_WF_LIFETIME_STATUS_3 reg:0x24b8
regSPI_WF_LIFETIME_STATUS_4 reg:0x24b9
regSPI_WF_LIFETIME_STATUS_5 reg:0x24ba
regSPI_WF_LIFETIME_STATUS_6 reg:0x24bb
regSPI_WF_LIFETIME_STATUS_7 reg:0x24bc
regSPI_WF_LIFETIME_STATUS_8 reg:0x24bd
regSPI_WF_LIFETIME_STATUS_9 reg:0x24be
regSPI_WF_LIFETIME_STATUS_10 reg:0x24bf
regSPI_WF_LIFETIME_STATUS_11 reg:0x24c0
regSPI_WF_LIFETIME_STATUS_12 reg:0x24c1
regSPI_WF_LIFETIME_STATUS_13 reg:0x24c2
regSPI_WF_LIFETIME_STATUS_14 reg:0x24c3
regSPI_WF_LIFETIME_STATUS_15 reg:0x24c4
regSPI_WF_LIFETIME_STATUS_16 reg:0x24c5
regSPI_WF_LIFETIME_STATUS_17 reg:0x24c6
regSPI_WF_LIFETIME_STATUS_18 reg:0x24c7
regSPI_WF_LIFETIME_STATUS_19 reg:0x24c8
regSPI_WF_LIFETIME_STATUS_20 reg:0x24c9
regSPI_WF_LIFETIME_DEBUG reg:0x24ca
regSPI_LB_CTR_CTRL reg:0x24d4
regSPI_LB_CU_MASK reg:0x24d5
regSPI_LB_DATA_REG reg:0x24d6
regSPI_PG_ENABLE_STATIC_CU_MASK reg:0x24d7
regSPI_GDS_CREDITS reg:0x24d8
regSPI_SX_EXPORT_BUFFER_SIZES reg:0x24d9
regSPI_SX_SCOREBOARD_BUFFER_SIZES reg:0x24da
regSPI_CSQ_WF_ACTIVE_STATUS reg:0x24db
regSPI_CSQ_WF_ACTIVE_COUNT_0 reg:0x24dc
regSPI_CSQ_WF_ACTIVE_COUNT_1 reg:0x24dd
regSPI_CSQ_WF_ACTIVE_COUNT_2 reg:0x24de
regSPI_CSQ_WF_ACTIVE_COUNT_3 reg:0x24df
regSPI_CSQ_WF_ACTIVE_COUNT_4 reg:0x24e0
regSPI_CSQ_WF_ACTIVE_COUNT_5 reg:0x24e1
regSPI_CSQ_WF_ACTIVE_COUNT_6 reg:0x24e2
regSPI_CSQ_WF_ACTIVE_COUNT_7 reg:0x24e3
regSPI_LB_DATA_WAVES reg:0x24e4
regSPI_LB_DATA_PERCU_WAVE_HSGS reg:0x24e5
